Descrizione;k;k_packaging
Controfiletto A Fette Piemontese B.A.;0.14;
Controfiletto A Fette Pollo;1;
Controfiletto A Fette Scottona B.A.;1;
Controfiletto A Pezzi Pollo;1;
Controfiletto Equino;1;
Controfiletto Puledro;1;
Coppa / Lonza / Capocollo;1;
Coppa / Lonza / Capocollo Di Suino Nero;1;
Coppa / Lonza / Capocollo Di Zibello;1;
Coppa / Lonza / Capocollo Piccante;1;
Coppa A Fette Senza Osso Cinghiale;1;
Coppa A Fette Senza Osso Suino;1.2;
Coppa A Tranci Senza Osso Cinghiale;1;
Coppa A Tranci Senza Osso Suino;1.2;
Coppa Di Parma;1;
Coppa Di Testa;1;
Coppa Piacentina;1;
Coppiette Secche;1;
Coppiette Suino;1;
Corallina;1;
Coratella Abbacchio;1;
Cordon Bleu Di Pollo E Tacchino ;1;
Cordon Bleu Di Pollo Gastronomia;1;
Cordon Bleu Pollo;1;
Cordon Bleu Pollo ;1;
Cordon Bleu Pollo Con Funghi;1;
Cordon Bleu Suino;1;
Cordon Bleu Tacchino;1;
Cordon Bleu Tacchino Alla Pizzaiola;1;
Coriandolo;1;
Cornetto Con Albicocca;1;
Cornetto Con Cioccolata;1;
Cornetto Integrale;1;
Cornetto Semplice / Vuoto;1;
Corno D'Abruzzo;1;
Corvina;1;
Cosacavaddu Stagionato;1;
Cosce / Fusi  Di Pollo Gastronomia;1;
Cosce / Fusi Di Pollo Campese Gastronomia;1;
Cosce Coniglio;1;
Cosce Quaglia;1;
Coscia / Cosciotto Disossato Pollo;1;
Coscia / Cosciotto Pollo;6.59;
Coscia Anatra;1;
Coscia Cinghiale;1;
Coscia Maialino;1;
Coscia Suino;1;
Coscia Vitello;1;
Coscio Abbacchio;1;
Coscio Agnello;1;
Coscio Pecora;1;
Coscio Tacchino;0.99;
Costardella;1;
Costata Cinghiale;1;
Costata Con Osso Scottona B.A.;1;
Costine / Costolette / Cotolette Agnello;1;
Costine / Costolette Abbacchio;1;
Costine / Costolette Agnello;1;
Costine / Costolette Pecora;1;
Costine / Costolette Vitello;1;
Costine / Puntine / Spuntature Cinghiale;1;
Costine / Puntine / Spuntature Gastronomia;1;
Costine / Puntine / Spuntature Suino;7.6;
Cotechino;1;
Cotechino Suino;1;
Cotenna Suino;1;
Cotoletta Di Merluzzo;1;
Cotoletta Di Pangasio;1;
Cotoletta Di Pesce Spada;1;
Cotoletta Impanata B.A.;1;
Cotoletta Impanata Suino;1;
Cotoletta Integrale Pollo;1;
Cotoletta Pollo;1;
Cotoletta Tacchino;1;
Cotolette Nodini Cinghiale;1;
Cotolette Nodini Impanati Suino;1;
Cotolette Nodini Vitello;1;
Cotolette/Fettine Impanate Pollo Gastronomia;1;
Cotolette/Fettine Impanate Suino Gastronomia;1;
Cotolette/Fettine Impanate Tacchino;1;
Coulommiers;1;
Cous Cous;1;
Cous Cous Bio;1;
Cous Cous Gastronomia;1;
Cozze / Mitili;13.48;
Cozze Alla Marinara;1;
Cozze Cotte Al Naturale;1;
Cozze Cotte Al Pomodoro;1;
Cozze E Vongole;1;
Cozze E Vongole Allo Scoglio;1;
Cozze Gaeta;0.78;
Cozze Gratinate;1;
Cozze Pelose;1;
Cozze Sardegna;0.78;
Cozze Tarantine;0.78;
Crauto / Cavolo Cappuccio Bianco;1;
Crauto / Cavolo Cappuccio Julienne / In Fili;1;
Crauto / Cavolo Cappuccio Rosso;1;
Crauto / Cavolo Cappuccio Viola;1;
Crema Del Piave;1;
Crema Del Tavoliere;1;
Crema Di Maggio;1;
Crema Di Yogurt Greco;1;
Crescenza;1;
Crocchette Di Patate;1;
Croste Di Formaggio Bella Lodi;1;
Croste Di Formaggio Duro;1;
Croste Di Parmigiano Reggiano;1;
Crotto;1;
Crucolo Al Vino;1;
Crucolo Classico;1;
Crucolo Dolce;1;
Crucolo Saporito;1;
Crutin Al Tartufo;1;
Culatello;1;
Culatello Intero;1;
Culatta;1;
Cuor Di Burrata;1;
Cuor Di Fieno;1;
Cuor Di Ricotta;5.97;
Cuor Di Tartufo;1;
Cuor D'Or Di Capra;1;
Cuore A Fette B.A.;1;
Cuore A Fette Vitello;1;
Cuore B.A.;1;
Cuore Di Iceberg In Busta;1;
Cuore Di Lattuga;1;
Cuore Di Monte;1;
Cuore Di Orgosolo;1;
Cuore Di Orgosolo Semistagionato;1;
Cuore Di Porro;1;
Cuore Di Radicchio;1;
Cuore Di Riccia;1;
Cuore Di Scarola;1;
Cuore Di Sedano;1;
Cuore Suino;1;
Cuore Tacchino;1;
Cuore Vitello;1;
Cuori Di Carciofi;1;
Cuori Di Merluzzo;3.43;
Curcuma;1;
Curcuma Bio;1;
Curienello / Coronello;1;
Cusi├¿ In Foglie Di Castagno;1;
Cusi├®;1;
Dakota Pollo;1;
Dakota Suino;1;
Dakota Tacchino;1;
Damtaler;1;
Datteri;1;
Datteri Deglet Nour ;1;
Datteri Deglet Nour Naturali;1;
Datteri Kenta;1;
Datteri Medjoul;1;
Datteri Ramati;1;
Datteri Ravier;1;
Delizia Del Pastore;1;
Demi / Mini Baguette;1;
Dentice;1;
Diaframma B.A.;1;
Diaframma Equino;1;
Dobbiaco;1;
Dolce Capra;1;
Dolce Capriccio;1;
Dolce Di Fattoria;1;
Dolce Di Oschiri;1;
Dolce Fattoria;1;
Dolce Forma;1;
Dolce Macomer;1;
Dolce Stella;1;
Dolcecassia;1;
Dolceraggio;1;
Dolcesardo;1;
Dolceselva;1;
Dolcezza Di Asiago;1;
Dolcino Di Capra;1;
Durelli / Ventrigli Pollo;1;
Durelli / Ventrigli Tacchino;1;
Edamer;1;
Emmental Gran Pavois;2.78;
Emmenthal Bavarese;2.78;
Emmenthal Francese;2.78;
Emmenthaler Svizzero;2.78;
Entrecote Argentina B.A.;1;
Entrecote B.A.;1;
Entrecote Black Angus B.A.;1;
Entrecote Chianina B.A.;1;
Entrecote Danese B.A.;1;
Entrecote Irlandese B.A.;1;
Entrecote Piemontese B.A;1;
Entrecote Scottona B.A. ;1;
Entremont;1;
Epoisses;1;
Erba Cipollina;1;
Erba Cipollina Bio;1;
Erborinato;1;
Fagioli Bianchi Bio;1;
Fagioli Borlotti;1;
Fagioli Borlotti Bio;1;
Fagioli Cannellini;1;
Fagioli Cannellini Bio;1;
Fagioli Corallo / Spadoni / Piattoni;1;
Fagioli Corona;1;
Fagioli Neri;1;
Fagioli Neri Bio;1;
Fagioli Occhio;1;
Fagioli Stregoni Piemontesi;1;
Fagiolini Boby;1;
Fagiolini Boby Bio;1;
Fagiolini Boby Spuntati;1;
Fagiolini Grisotti;1;
Fagottini Al Prosciutto;1;
Fagottini Pollo;1;
Faraona In Parti / A Pezzi;1;
Faraona Intera / Busto;1;
Faraona Ripiena;1;
Farro;1;
Farro Bio;1;
Farro Perlato;1;
Farro Perlato Bio;1;
Farro Spezzato;1;
Fasolari;1;
Fave Fresche;1;
Fave Secche;1;
Fave Secche Sgusciate;1;
Fave Secche Sgusciate Bio;1;
Favette Condite;1;
Fegatelli Di Cinghiale;1;
Fegatelli Di Suino;1;
Fegatini Di Pollo;1;
Fegatini E Cuore Coniglio;1;
Fegatini E Cuore Pollo;1;
Fegato A Fette B.A.;1;
Fegato B.A.;1;
Fegato Cinghiale;1;
Fegato Coniglio;1;
Fegato Suino;1;
Fegato Tacchino;1;
Fegato Vitello;1;
Fesa / Petto Di Tacchino Al Miele (Salume);2.2;
Fesa / Petto Di Tacchino Arrosto (Salume);2.2;
Fesa / Petto Di Tacchino Gastronomia;1;
Fesa / Petto/Prosciutto Di Tacchino (Salume);2.2;
Fesa / Sceltissima Tranci Vitello;1;
Fesa A Fette Impanate Tacchino;1;
Fesa A Fette Impanate Vitello;1;
Fesa A Fette Tacchino;4.94;
Fesa A Fette Vitello;0.15;
Fesa A Tranci Tacchino;0.1;
Fesa Di Manzo Affumicata;1;
Feta Greca;1;
Fette / Fettine Puledro;1;
Fette / Fettine Scelte Spalla Equino;1;
Fette / Fettine Scelte Spalla Puledro;1;
Fette / Fettine Sceltissime Coscia Equino;1;
Fette / Fettine Sottili / Fine Equino;1;
Fette Per Roll├¿ B.A.;1;
Fettine Coscia / Sceltissime Black Angus B.A.;1;
Fettine Coscia / Sceltissime Chianina B.A.;1;
Fettine Coscia / Sceltissime Danese B.A.;1;
Fettine Coscia / Sceltissime Piemontese B.A.;0.14;
Fettine Coscia Cinghiale;1;
Fettine Coscia Suino;1;
Fettine Di Armone B.A.;1.22;
Fettine Di Coniglio;1;
Fettine Di Controgirello B.A.;0.14;
Fettine Di Girello B.A.;0.14;
Fettine Di Girello Cinghiale;1;
Fettine Di Girello Danese B.A.;1;
Fettine Di Girello Piemontese B.A.;0.14;
Fettine Di Girello Scottona B.A.;1;
Fettine Di Girello Suino;1;
Fettine Di Kobe B.A.;1;
Fettine Di Noce B.A.;0.14;
Fettine Di Noce Equino;1;
Fettine Di Pezza / Scamone B.A.;0.14;
Fettine Di Pezza / Scamone Irlandese B.A.;1;
Fettine Di Pezza / Scamone Piemontese B.A;1;
Fettine Di Pezza / Scamone Scottona B.A.;1;
Fettine Di Pezza / Scamone Vitello;0.2;
Fettine Di Rosa B.A.;0.14;
Fettine Di Rosa Vitello;0.2;
Fettine Lacerto B.A.;1.22;
Fettine Lombo / Roast Beef Equino;1;
Fettine Lombo / Roast Beef Vitello;0.2;
Fettine Lombo / Roast-Beef Argentina B.A.;1;
Fettine Lombo / Roast-Beef Australia B.A.;1;
Fettine Lombo / Roast-Beef B.A.;1;
Fettine Lombo / Roast-Beef Canadese B.A.;1;
Fettine Lombo / Roast-Beef Irlandese B.A.;1;
Fettine Lombo / Roast-Beef Piemontese B.A.;1;
Fettine Lombo / Roast-Beef Scottona B.A.;1;
Fettine Pizzaiola B.A.;1.22;
Fettine Scelte / Spalla B.A.;1.22;
Fettine Scelte / Spalla Vitello;0.15;
Fettine Scelte Scottona B.A.;1;
Fettine Sceltissime / Coscia B.A.;0.14;
Fettine Sceltissime / Coscia Vitello;0.2;
Fettine Sceltissime Scottona B.A.;1;
Fettine Sottili / Fine B.A.;1.22;
Fettine Sottili / Fine Scottona B.A.;1;
Fettine Sottili / Fine Vitello;0.2;
Fettine Sottili Cinghiale;1;
Fettine Sottili Suino;1;
Fettine Sottilissime / Finissime B.A.;0.14;
Fettine Sottilissime / Finissime Scottona B.A;1;
Fettine Spalla / Scelte Piemontese B.A.;1.22;
Fettine Spalla Cinghiale;1;
Fettine Spalla Scottona B.A.;1;
Fettine Spalla Sorana B.A.;1;
Fettine Spalla Suino;1;
Fiandra Straecca Equino;1;
Fichi d'India;1;
Fichi d'India Bio;1;
Fichi Neri;1;
Fichi Secchi;1;
Fichi Secchi Bianchi;1;
Fichi Secchi Bio;1;
Fichi Secchi Corona;1;
Fichi Secchi Crocette;1;
Fichi Secchi Fioroni Giganti;1;
Fichi Secchi Jetta;1;
Fichi Secchi Mandorlati;1;
Fichi Verdi;1;
Fichi Viola;1;
Filamella Affumicata;1;
Filamella Bianca;1;
Filetti Di Sgombro Grigliati Take Away;1;
Filetti Di Sgombro Marinati;1;
Filetto A Fette B.A.;1;
Filetto A Fette Cinghiale;1;
Filetto A Fette Suino;1;
Filetto A Tranci B.A.;1;
Filetto B.A.;1;
Filetto Coniglio;1;
Filetto Danese B.A.;1;
Filetto Di Acciuga / Alice;4.66;
Filetto Di Acciuga / Alice Marinata;1;
Filetto Di Alalunga;1;
Filetto Di Aringa;1;
Filetto Di Aringa Marinata;1;
Filetto Di Aringa Sott'Olio;1;
Filetto Di Baccal├á Ammollato;1;
Filetto Di Baccal├á Impanato;1;
Filetto Di Baccal├á Salato;1;
Filetto Di Cernia Atlantica;1;
Filetto Di Dentice;1;
Filetto Di Fragolino / Pagello;1;
Filetto Di Gallinella;1;
Filetto Di Merluzzo Carbonaro / Nero;3.43;
Filetto Di Merluzzo Nordico;3.43;
Filetto Di Nasello / Merluzzo;3.43;
Filetto Di Ombrina;1;
Filetto Di Orata;8.77;
Filetto Di Pagro;1;
Filetto Di Pangasio;1;
Filetto Di Persico Africano;1;
Filetto Di Pesce Spada;3.02;
Filetto Di Pesce Spada Affumicato;1;
Filetto Di Platessa;1.16;
Filetto Di Platessa Impanata;1;
Filetto Di Rombo Chiodato;0.6;
Filetto Di Rombo Ocellato Atlantico;0.6;
Filetto Di Rombolino;0.6;
Filetto Di Salmone;7.38;
Filetto Di Salmone Impanato;1;
Filetto Di Sardina;4.91;
Filetto Di Sardina Marinata;1;
Filetto Di Sciabola;1;
Filetto Di Scorfano;1;
Filetto Di Sgombro;3.82;
Filetto Di Sogliola;1;
Filetto Di Spatola;1;
Filetto Di Spatola Impanato;1;
Filetto Di Spigola / Branzino;7.1;
Filetto Di Stoccafisso Ammollato;1;
Filetto Di Stoccafisso Salato;1;
Filetto Di Storione;1;
Filetto Di Tonno;1.54;
Filetto Di Tonno A Pinne Gialle;1.54;
Filetto Di Tonno Alletterato;1;
Filetto Di Tonno Sott'Olio;1;
Filetto Di Triglia;1;
Filetto Di Trota Impanata;1;
Filetto Di Trota Iridea Salmonata;3.93;
Filetto Di Trota Salmonata Gastronomia;1;
Filetto Equino;1;
Filetto Impanato Pollo;1;
Filetto Intero Cinghiale;1;
Filetto Intero Farcito Suino;1;
Filetto Intero Suino;1;
Filetto Piemontese B.A.;1;
Filetto Pollo;11.34;
Filetto Quaglia;1;
Filetto Scottona B.A.;1;
Filetto Struzzo;1;
Filetto Tacchino;1;
Filetto Vitello;1;
Filone A Lievitazione Naturale;1;
Filone Affumicato;1;
Filone Ai Cereali;1;
Filone Al Carbone;1;
Filone Al Grano Saraceno;1;
Filone Casereccio;1;
Filone Casereccio Di Genzano;1;
Filone Con Noci;1;
Filone Cotto A Legna;1;
Filone Di Grano Tenero;1;
Filone Di Lariano;1;
Filone Di Segale;1;
Filone Di Semola;1;
Filone Di Sesamo;1;
Filone Di Tumminia;1;
Filone Grano Duro;1;
Filone Integrale;1;
Filone Napoletano;1;
Filone Rimacinato;1;
Filone Romano;1;
Filone Sciapo;1;
Filone Siciliano;1;
Filone Terni;1;
Filone Tirolese;1;
Filzetta  / Salame Lungo;1;
Filzetta  / Salame Lungo Al Barolo;1;
Filzetta  / Salame Lungo Gattinara;1;
Finger Lime / Limone Caviale;1;
Finocchi;3.95;Sfuso
Finocchi Bio;1;
Finocchi Cotti;1;
Finocchi Julienne / In Fili;1;
Finocchietto Selvatico;1;
Fiocco Di Langa;1;
Fiocco Di Neve;1;
Fior Di Bacco;1;
Fior Di Capra;1;
Fior Di Castro;1;
Fior Di Garofalo;1;
Fior Di Grano;1;
Fior Di Latte / Mozzarella Di Capra;1;
Fior Di Latte / Mozzarella Vaccina;1;
Fior Di Latte / Mozzarella Vaccina Ciliegine;1;
Fior Di Latte / Mozzarella Vaccina Nodino;1;
Fior Di Latte / Mozzarella Vaccina Ripiena;1;
Fior Di Latte / Mozzarella Vaccina Treccia;1;
Fior Di Latte / Mozzarella Vaccina x3;1;
Fior Di Maso;1;
Fior Di Monte;1;
Fior Di Noce;1;
Fiordilatte / Ovolo;1;
Fiore Del Petrano;1;
Fiore Sardo;1;
Fiorentina B.A.;1;
Fiorentina Chianina B.A.;1;
Fiorentina Danese B.A.;1;
Fiorentina Scottona B.A.;1;
Fiori Di Zucca;1;
Fiori Di Zucca Fritti;1;
Fioroni Di Capra;1;
Florette;1;
Focaccia Al Pomodoro;1;
Focaccia Condita;1;
Focaccia Tradizionale / Bianca;1;
Fontal Crosta Rossa / Estero;1;
Fontal Nazionale;1;
Fontina;1;
Formage De Bellelay;1;
Formages De Ch├¿vres;1;
Formaggella Affumicata;1;
Formaggella Bergamasca;1;
Formaggella Bronzone;1;
Formaggella Caprina;1;
Formaggella Del Belo;1;
Formaggella Del Luinese;1;
Formaggella Di Capra Tre Signori;1;
Formaggella Di Montagna;1;
Formaggella Dora;1;
Formaggella Montana;1;
Formaggella Tremosine;1;
Formaggella Val Di Scalve;1;
Formaggella Valcavallina;1;
Formaggio Al Vino;1;
Formaggio Alpeggio;1;
Formaggio Armonia;1;
Formaggio Bella Lodi;1;
Formaggio Bella Lodi Grattuggiato;1;
Formaggio Bella Valle;1;
Formaggio Bianco Da Tavola;1;
Formaggio Blu;1;
Formaggio Bormino;1;
Formaggio Castel San Pietro;1;
Formaggio Castelgrotta;1;
Formaggio Castelrosso;1;
Formaggio Classico Stagionato;1;
Formaggio Cortina;1;
Formaggio Di Capra;1;
Formaggio Di Capra Gavina;1;
Formaggio Di Capra Kabri;1;
Formaggio Di Capra Rocca Ruja;1;
Formaggio Di Capra Semistagionato;1;
Formaggio Di Capra Stagionato;1;
Formaggio Dolcificato;1;
Formaggio Dolcificato Con Mascarpone;1;
Formaggio Due Volte;1;
Formaggio Duetto;1;
Formaggio Duro;1;
Formaggio Fuso Al Salmone;1;
Formaggio Grana;1;
Formaggio Grattuggiato;1;
Formaggio La Tur;1;
Formaggio L'Originale;1;
Formaggio Mandarino;1;
Formaggio Mandarino Affumicato;1;
Formaggio Mandarino Stravecchio;1;
Formaggio Matusa;1;
Formaggio Misto Bilbante;1;
Formaggio Misto Campagnolo;1;
Formaggio Misto Colfiorito;1;
Formaggio Misto Dolce Tufo;1;
Formaggio Misto Morbidello;1;
Formaggio Misto Principe Di Barbagia;1;
Formaggio Misto Re Del Gennargentu;1;
Formaggio Misto Su Fureddu;1;
Formaggio Misto Tamara;1;
Formaggio Molle;1;
Formaggio Monrupino;1;
Formaggio Montecapra;1;
Formaggio Neve Del Grappa;1;
Formaggio Neveg├ál;1;
Formaggio Nocerino;1;
Formaggio Nostrano;1;
Formaggio Nostrano Di Casazza;1;
Formaggio Pannerone;1;
Formaggio Pratomagno;1;
Formaggio Pratomagno Vecchio;1;
Formaggio Rigato Semistagionato;1;
Formaggio Rigato Stagionato;1;
Formaggio Rosso Di Langa;1;
Formaggio Sant'Andrea;1;
Formaggio Sauris;1;
Formaggio Scoparolo / Scoperino;1;
Formaggio Semiduro;1;
Formaggio Tabor Fresco;1;
Formaggio Tosella;1;
Formaggio Valdostano;1;
Formai De Mut;1;
Fourme D'Ambert;1;
Fragole;1;
Fragole Bio;1;
Fragole Camarosa;1;
Fragole Candonga;1;
Fragole Favetta;1;
Fragole Sabrina;1;
Fragoline Di Bosco;1;
Fragolino / Pagello;1;
Francesine Pollo;6.59;
Francesino;1;
Frattaglie Coniglio;1;
Fregola Allo Scoglio;1;
Friarielli;1;
Friggitelli;1;
Frittata;1;
Frittura Di Pesce;1;
Frittura Mista;1;
Fruste Di Pane;1;
Fruste Di Segale;1;
Fruste Integrali;1;
Frutta Secca Mista In Guscio;1;
Frutta Secca Mista Sgusciata;1;
Frutti Di Bosco / Misto Bosco;1;
Frutti Rossi Mix;1;
Frutto Della Passione;1;
Frutto Di Cappero;1;
Funghi Cardoncelli;1;
Funghi Cardoncelli / Antunna Conditi;1;
Funghi Champignon / Prataioli Interi;1;
Funghi Champignon / Prataioli Tagliati;1;
Funghi Champignon Fioroni;1;
Funghi Champignon Ripieni;1;
Funghi Cornucopie;1;
Funghi Cremini;1;
Funghi Ferula;1;
Funghi Galletti / Finferli;1;
Funghi Misti;1;
Funghi Misti Alla Pizzaiola Gastronomia;1;
Funghi Misti Fantasia;1;
Funghi Misti Secchi;1;
Funghi Misti Tagliati;1;
Funghi Misti Trifolati Gastronomia;1;
Funghi Orcelle;1;
Funghi Pioppini;1;
Funghi Pleurotus;1;
Funghi Pleurotus Erygii;1;
Funghi Pleurotus Tagliati;1;
Funghi Porcini;1;
Funghi Porcini Secchi;1;
Funghi Portobello;1;
Funghi Sott'Olio Alla Contadina Gastronomia;1;
Funghi Sott'Olio Gastronomia;1;
Fusi Farciti Pollo;1;
Fusi Pollo;5.66;
Fusi Tacchino;0.99;
Fuso Con Noci;1;
Galbanone;1;
Galletto Allo Spiedo;1;
Galletto In Parti / A Pezzi;1;
Galletto Intero / Busto;1;
Galletto Intero / Busto Alla Diavola;1;
Gallina In Parti / A Pezzi;1;
Gallina Intera / Busto;1;
Gallinella / Cappone;1;
Gallo In Parti / A Pezzi;1;
Gallo In Parti / A Pezzi Ruspante;1;
Gallo Intero / Busto;1;
Gallo Intero / Busto Ruspante;1;
Gamberetti Impanati;1;
Gamberetti Impanati;1;
Gamberetti In Salamoia;1;
Gamberetti In Salsa Cocktail / Rosa;1;
Gambero / Gamberetto Rosa / Bianco;1;
Gambero / Gamberetto Rosa / Bianco Sgusciato;1;
Gambero / Gamberone Argentino;2.78;
Gambero / Gamberone Rosso;1;
Gambero / Gamberone Rosso Sgusciato;1;
Gambero / Gamberone Viola;1;
Gattuccio;1;
Gattuccio In Agliata;1;
Gelatina;1;
Germogli Di Soia;1;
Ghiozzo;1;
Giglio Sardo;1;
Gigliola;1;
Girello A Fette Vitello;0.2;
Girello A Tranci Vitello;1;
Girello Intero B.A.;1;
Girello Intero Vitello;1;
Giuggiole;1;
Giuncata;1;
Giuncata Con Rucola;1;
Gnocchi Di Patate Gastronomia;1;
Gomasio;1;
Gorgonzola Con Noci;4.05;
Gorgonzola Di Capra;1;
Gorgonzola Dolce;4.05;
Gorgonzola Dolce Al Cucchiaio;4.05;
Gorgonzola Dolce Marika;4.05;
Gorgonzola Dolcelatte;4.05;
Gorgonzola E Mascarpone;1;
Gorgonzola Malghese;4.05;
Gorgonzola Pannaverde;4.05;
Gorgonzola Piccante;4.05;
Gouda;1;
Gran Biraghi;1;
Gran Biraghi A Dadini / Bocconcini;1;
Gran Cacio Etrusco;1;
Gran Campidano;1;
Gran Camuno;1;
Gran Capra;1;
Gran Classico;1;
Gran Cornuto;1;
Gran Italo;1;
Gran Kinara;1;
Gran Pascolo;1;
Gran Riserva;1;
Gran Riserva Al Pepe;1;
Gran Sardo;1;
Grana Padano;15.38;
Grana Padano A Dadini / Bocconcini;1;
Grana Padano Grattugiato;1;
Grana Padano In Scaglie;1;
Granchio / Granciporro;1;
Granchio / Granseola;1;
Granchio / Moleche;1;
Grand Terroir;1;
Granmoravia;1;
Grano Saraceno;1;
Grano Saraceno  Bio;1;
Granpecorino;5.41;
Grassina Val D'Angolo;1;
Graukase;1;
Greviera Di Ozieri;1;
Grigliata Pollo;1;
Grigliata Suino;1;
Grigliata Tacchino;1;
Grongo;1;
Groppone Pollo;1;
Grottone;1;
Gruy├®re / Gruviera;1;
Guance Di Rospo / Rana Pescatrice;1;
Guanciale;1;
Guanciale Affumicato;1;
Guanciale Amatriciano;1;
Guanciale Di Norcia;1;
Guanciale Di Suino Nero Di Parma;1;
Guanciale Piccante;1;
Hamburger / Medaglioni Equino ;1;
Hamburger B.A.;1;
Hamburger Black Angus B.A.;1;
Hamburger Bovino Gastronomia;1;
Hamburger Chianina B.A.;1;
Hamburger Cinghiale;1;
Hamburger Conditi Vitello ;1;
Hamburger Condito B.A. ;1;
Hamburger Condito Misto (B.A. E Suino);1;
Hamburger Condito Pollo ;1;
Hamburger Condito Scottona B.A.;1;
Hamburger Condito Suino;1;
Hamburger Condito Tacchino ;1;
Hamburger Coniglio;1;
Hamburger Danese B.A.;1;
Hamburger Di Baccal├á;1;
Hamburger Di Merluzzo;1;
Hamburger Di Pesce Spada;1;
Hamburger Di Salmone;1;
Hamburger Di Trota;1;
Hamburger Impanato Pollo ;1;
Hamburger Mini B.A.;1;
Hamburger Mini Chianina B.A.;1;
Hamburger Mini Vitello ;1;
Hamburger Misto (B.A. E Suino) ;1;
Hamburger Misto (Pollo E Tacchino) ;1;
Hamburger Misto (Tacchino E Suino) ;1;
Hamburger Misto Black Angus E Kobe B. A.;1;
Hamburger Piemontese B.A. ;1;
Hamburger Pollo;1;
Hamburger Scottona B.A.;1;
Hamburger Suino;1;
Hamburger Suino Gastronomia;1;
Hamburger Tacchino;1;
Hamburger Vitello;1;
Il Barone Nero;1;
Il Bucaneve;1;
Il Cacino Di Pura Pecora;1;
Il Cacino Rosso Di Pura Pecora;1;
Il Capraro;1;
Il Casaro;1;
Il Formazza;1;
Il Saggio;1;
Il Sarracino;1;
Il Vecchio Di Fonni;1;
Il Vicer├¿;1;
Il Vicer├¿ Al Peperoncino;1;
Il Vicer├¿ Allo Zafferano;1;
Impasto Per Pane;1;
Impasto Salsiccia;1;
Imperatore Delle Dolomiti;1;
Indivia Belga / Cicoria Witloof;1;
Innominato;1;
Insalata Acetosetta;1;
Insalata Arcobaleno;1;
Insalata Armonia In Busta;1;
Insalata Aromatica;1;
Insalata Capricciosa;1;
Insalata Capricciosa;1;
Insalata Catalana;1;
Insalata Cicoria;1;
Insalata Del Giorno;1;
Insalata Di Baccal├á;1;
Insalata Di Crauti;1;
